date,news_num,KOSELF_pos_word,news_word,cosine_similarity,frequency
2020-01-02,1,경신,기록,0.522990882396698,2
2020-01-02,1,중요한,가장,0.5371254086494446,1
2020-01-02,1,증대,증가,0.6946426630020142,1
2020-01-02,1,추진,계획,0.5205424427986145,1
2020-01-02,2,강세,급락,0.507910966873169,2
2020-01-02,2,개선,향상,0.5878475904464722,1
2020-01-02,2,경신,기록,0.522990882396698,3
2020-01-02,2,증대,향상,0.6337747573852539,1
2020-01-02,2,증대,증가,0.6946426630020142,1
2020-01-02,2,증대,확대,0.5193238258361816,3
2020-01-02,2,증대,감소,0.6517643928527832,1
2020-01-02,2,증대,급증,0.5051040649414062,2
2020-01-02,2,추진,발전,0.5099795460700989,3
2020-01-02,2,추진,계획,0.5205424427986145,2
2020-01-02,2,추진,사업,0.5213737487792969,1
2020-01-02,2,확보,마련,0.5137236714363098,2
2020-01-02,3,증대,확보,0.5161436796188354,1
2020-01-02,3,확보,증대,0.5161436796188354,1
2020-01-02,4,고급,최고급,0.5150026679039001,1
2020-01-02,4,실현,구현,0.5969869494438171,2
2020-01-02,4,중요한,가장,0.5371254086494446,1
2020-01-02,4,증대,확보,0.5161436796188354,1
2020-01-02,4,증대,확대,0.5193238258361816,1
2020-01-02,4,증대,감소,0.6517643928527832,1
2020-01-02,5,본격적인,본격,0.6104379892349243,1
2020-01-02,5,적극적으로,적극,0.6639531850814819,2
2020-01-02,5,증대,확보,0.5161436796188354,1
2020-01-02,5,증대,확대,0.5193238258361816,3
2020-01-02,5,추진,추진,0.9999999403953552,2
2020-01-02,5,추진,계획,0.5205424427986145,4
2020-01-02,5,추진,사업,0.5213737487792969,5
2020-01-02,5,확보,마련,0.5137236714363098,3
2020-01-02,5,확보,증대,0.5161436796188354,1
2020-01-02,6,가치,의미,0.5354709625244141,1
2020-01-02,6,본격적인,본격,0.6104379892349243,2
2020-01-02,6,증대,확대,0.5193238258361816,2
2020-01-02,6,증대,감소,0.6517643928527832,1
2020-01-02,6,추진,계획,0.5205424427986145,2
2020-01-02,6,추진,사업,0.5213737487792969,8
2020-01-02,6,추진,발전,0.5099795460700989,1
2020-01-02,6,추진,검토,0.5113310813903809,1
2020-01-02,6,추진,추진,0.9999999403953552,1
2020-01-02,6,추진,진행,0.5358568429946899,4
2020-01-02,6,해결,문제,0.6186186075210571,1
2020-01-02,6,확보,마련,0.5137236714363098,1
2020-01-02,7,가치,의미,0.5354709625244141,2
2020-01-02,7,본격적인,본격,0.6104379892349243,4
2020-01-02,7,상승효과,시너지,0.5509334206581116,1
2020-01-02,7,적극적으로,적극,0.6639531850814819,5
2020-01-02,7,중요한,가장,0.5371254086494446,1
2020-01-02,7,증대,확대,0.5193238258361816,17
2020-01-02,7,증대,확보,0.5161436796188354,5
2020-01-02,7,추진,계획,0.5205424427986145,9
2020-01-02,7,추진,사업,0.5213737487792969,21
2020-01-02,7,추진,발전,0.5099795460700989,3
2020-01-02,7,추진,추진,0.9999999403953552,10
2020-01-02,7,추진,진행,0.5358568429946899,2
2020-01-02,7,해결,극복,0.5064623355865479,1
2020-01-02,7,확보,확립,0.5123972296714783,1
2020-01-02,7,확보,마련,0.5137236714363098,1
2020-01-02,8,적극적으로,적극,0.6639531850814819,1
2020-01-02,8,추진,추진,0.9999999403953552,1
2020-01-02,8,추진,발전,0.5099795460700989,1
2020-01-02,8,확보,마련,0.5137236714363098,3
2020-01-03,9,강세,약세,0.7028064727783203,2
2020-01-03,9,강세,급락,0.507910966873169,1
2020-01-03,9,경신,기록,0.522990882396698,1
2020-01-03,9,실현,차익,0.531851053237915,2
2020-01-03,9,우세,강세,0.5120405554771423,2
2020-01-03,9,장점,특징,0.6442348957061768,1
2020-01-03,10,본격적인,본격,0.6104379892349243,1
2020-01-03,10,증대,증가,0.6946426630020142,6
2020-01-03,10,증대,감소,0.6517643928527832,8
2020-01-03,10,추진,사업,0.5213737487792969,4
2020-01-03,10,호황,침체,0.6176011562347412,1
2020-01-03,10,확보,확립,0.5123972296714783,1
2020-01-03,11,개선,향상,0.5878475904464722,1
2020-01-03,11,증대,향상,0.6337747573852539,1
2020-01-03,11,증대,감소,0.6517643928527832,1
2020-01-03,11,추진,사업,0.5213737487792969,5
2020-01-03,11,해결,극복,0.5064623355865479,1
2020-01-03,12,본격적인,본격,0.6104379892349243,1
2020-01-03,12,증대,확대,0.5193238258361816,3
2020-01-03,12,추진,추진,0.9999999403953552,3
2020-01-03,12,추진,계획,0.5205424427986145,3
2020-01-03,12,추진,사업,0.5213737487792969,2
2020-01-03,12,해결,문제,0.6186186075210571,1
2020-01-03,13,확보,마련,0.5137236714363098,1
2020-01-03,14,개선,향상,0.5878475904464722,1
2020-01-03,14,본격적인,본격,0.6104379892349243,1
2020-01-03,14,장점,강점,0.5735523700714111,1
2020-01-03,14,적극적으로,적극,0.6639531850814819,1
2020-01-03,14,증대,향상,0.6337747573852539,1
2020-01-03,14,증대,확보,0.5161436796188354,1
2020-01-03,14,증대,확대,0.5193238258361816,1
2020-01-03,14,추진,추진,0.9999999403953552,1
2020-01-03,14,추진,계획,0.5205424427986145,2
2020-01-03,14,추진,사업,0.5213737487792969,5
2020-01-03,14,추진,중인,0.539746880531311,1
2020-01-03,14,해결,극복,0.5064623355865479,1
2020-01-03,14,호황,업황,0.5544542074203491,1
2020-01-03,14,확보,마련,0.5137236714363098,1
2020-01-03,15,중요한,가장,0.5371254086494446,1
2020-01-03,15,증대,확보,0.5161436796188354,2
2020-01-03,15,증대,확대,0.5193238258361816,1
2020-01-03,15,추진,추진,0.9999999403953552,2
2020-01-03,15,추진,계획,0.5205424427986145,2
2020-01-03,15,추진,사업,0.5213737487792969,2
2020-01-03,16,개선,향상,0.5878475904464722,1
2020-01-03,16,경신,기록,0.522990882396698,1
2020-01-03,16,본격적인,본격,0.6104379892349243,1
2020-01-03,16,증대,향상,0.6337747573852539,1
2020-01-03,16,증대,확보,0.5161436796188354,1
2020-01-03,16,추진,계획,0.5205424427986145,5
2020-01-03,16,추진,발전,0.5099795460700989,1
2020-01-03,16,추진,추진,0.9999999403953552,1
2020-01-03,16,추진,진행,0.5358568429946899,3
2020-01-03,16,추진,중인,0.539746880531311,1
2020-01-03,16,추천,추천,0.9999999403953552,1
2020-01-03,16,해결,방법,0.5185782313346863,1
2020-01-03,17,본격적인,본격,0.6104379892349243,2
2020-01-03,17,추진,진행,0.5358568429946899,3
