const,code,date,lstm,arima,fbprophet,RL,mail_news,mail_news_nsi,asia_news,asia_news_nsi,sampro_youtube,hk_youtube,suka_youtube,change,logit,up_ratio
1.0,51910,2021-09-16,764660.6792211533,711414.1496524537,755779.6451706568,0,0.31666666666666665,63.33333333333334,0.7838624338624339,156.77248677248676,0.9310327768325806,0.7894230484962463,0.5087302923202515,-1,1,0.6908105573462235
1.0,51910,2021-09-17,759266.4361000061,705394.3664537031,756408.6795571807,-1,0.6333333333333333,126.86666666666665,0.2913553113553113,58.27106227106229,0.9310327768325806,0.7894230484962463,0.5087302923202515,-1,1,0.5198907090063561
1.0,51910,2021-09-23,753433.6006641388,689876.360291875,753227.6887867983,-1,0.5333333333333333,106.66666666666666,0.5487525632262474,109.75051264524949,0.036642078310251236,0.7637104988098145,0.5087302923202515,1,1,0.8924505104475792
1.0,51910,2021-09-24,749505.2956342697,772342.2234294422,753003.6858712152,-1,0.2,40.00000000000001,0.4203869047619048,84.07738095238095,0.061370400711894035,0.7637104988098145,0.5087302923202515,1,1,0.5969616291040399
1.0,51910,2021-09-27,750926.0474443436,775314.563748338,746793.3758377342,-1,0.8333333333333334,166.66666666666666,0.5218253968253969,104.36507936507937,0.1504715383052826,0.3436179757118225,0.5087302923202515,1,1,0.5137327822414758
1.0,51910,2021-09-28,757697.9013681413,794715.3884339473,745704.9212603655,-1,0.31746031746031744,63.492063492063494,0.18181818181818185,36.36363636363637,0.2781711295247078,0.3436179757118225,0.5087302923202515,1,-1,0.4735502618156999
1.0,51910,2021-09-29,762308.0911636354,781173.6979268916,740078.8523603856,-1,0.0,0.0,0.0,0.0,0.11413507163524628,0.931218683719635,0.5087302923202515,-1,1,0.6747179241427506
1.0,51910,2021-09-30,766450.2462148665,769525.8675065455,744286.9997765982,1,0.4166666666666667,83.66666666666667,0.0,0.0,0.14089817305405936,0.931218683719635,0.5087302923202515,1,1,0.5457271805323919
1.0,51910,2021-10-01,769267.0162916182,777943.4222503663,743431.0886134997,-1,0.7426900584795321,148.53801169590642,0.6347826086956522,126.95652173913044,0.3677166936298211,0.9657880663871764,0.5087302923202515,-1,1,0.5712883848940651
1.0,51910,2021-10-05,775579.9202919006,767881.439648834,735374.4560529914,-1,0.5583333333333333,111.66666666666666,0.3670183982683983,73.40367965367966,0.101299948990345,0.9657880663871764,0.5087302923202515,-1,-1,0.4070303426228851
