,const,code,date,lstm,arima,fbprophet,RL,mail_news,mail_news_nsi,asia_news,asia_news_nsi,sampro_youtube,hk_youtube,suka_youtube,change,logit,up_ratio
0,1.0,5930,2021-09-17,76092.86376953125,76320.41718345125,76474.52658915494,-1,0.7721088435374149,154.42176870748295,0.548018648018648,109.87645687645691,0.24351458872358006,0.5351223945617676,0.0,1,-1,0.12469010938135874
1,1.0,5930,2021-09-23,76350.61328125,76895.10958142759,76077.28662506303,-1,0.6597967250141163,132.30717108977979,0.5645161163859226,113.11374959297396,0.299977907538414,0.5807234151288867,0.0,1,-1,0.06291201491997496
2,1.0,5930,2021-09-24,76392.00390625,77680.41069898686,75897.25517859406,-1,0.4388888888888888,87.94444444444444,0.6452922077922078,129.05844155844161,0.3010847670957446,0.4843484209850431,0.0,-1,-1,0.0406240417311222
3,1.0,5930,2021-09-27,76333.37841796875,77162.59166319207,75386.9563783318,-1,0.4655483405483406,93.3823953823954,0.6834075281443702,136.86571615518986,0.1856758147478104,0.2180950492620468,0.0,1,-1,0.0304728366008889
4,1.0,5930,2021-09-28,76408.66259765625,77641.18038252764,75333.60052908385,0,0.5718073593073593,114.67965367965368,0.2477152477152477,49.543049543049534,0.3984780577676637,0.32479868332544964,0.0,-1,-1,0.017867498266735747
5,1.0,5930,2021-09-29,76835.36376953125,76541.42479116977,75026.88128319784,1,0.5097402597402598,102.03896103896105,0.4542417460226949,91.04065689684666,0.2841523662209511,0.4427397400140762,0.0,-1,-1,0.010506493582772796
6,1.0,5930,2021-09-30,76285.69873046875,73766.2246482903,74833.76812988138,-1,0.5082417582417582,101.95604395604393,0.2824242424242424,56.68484848484849,0.4166862815618515,0.6040401905775071,0.0,0,-1,0.010353450957220055
7,1.0,5930,2021-10-01,75312.63330078125,74356.54373860662,74586.6859821788,-1,0.5833333333333333,116.66666666666666,0.3494281045751633,70.01062091503266,0.5242792544886471,0.6707292050123215,0.0,-1,-1,0.027494930845628464
8,1.0,5930,2021-10-05,74742.43823242188,73154.84684634606,73901.23090949011,0,0.517969566353187,103.8439132706374,0.41322608688611,82.73896737722201,0.3942948492864768,0.5615935735404491,0.0,-1,-1,0.024459353367997174
9,1.0,5930,2021-10-06,73724.03601074219,72071.07993290284,73600.45505487769,-1,0.28928571428571426,58.15714285714285,0.2916666666666667,58.83333333333333,0.4946164675056934,0.0,0.0,-1,-1,0.026164568845019245
