Date,Open,High,Low,Close,Volume,Change,BPS,PER,PBR,EPS,DIV,DPS,Action,act
2020-12-22,815000,816000,796000,797000,306523,-0.02208588957055213,217230,195.1,3.67,4085,0.25,2000,0,2
2020-12-23,802000,830000,777000,806000,594211,0.01129234629861986,217230,197.31,3.71,4085,0.25,2000,1,2
2020-12-24,810000,822000,802000,818000,335065,0.014888337468982549,217230,200.24,3.77,4085,0.24,2000,1,2
2020-12-28,818000,824000,807000,814000,264888,-0.004889975550122272,217230,199.27,3.75,4085,0.25,2000,2,2
2020-12-29,817000,827000,805000,813000,392849,-0.0012285012285012664,217230,199.02,3.74,4085,0.25,2000,2,2
2020-12-30,813000,824000,805000,824000,339889,0.013530135301353052,217230,201.71,3.79,4085,0.24,2000,1,2
2021-01-04,849000,900000,835000,889000,858451,0.07888349514563098,217230,217.63,4.09,4085,0.22,2000,1,2
2021-01-05,891000,893000,875000,893000,371709,0.004499437570303799,217230,218.6,4.11,4085,0.22,2000,2,2
2021-01-06,908000,912000,883000,890000,513628,-0.0033594624860022737,217230,217.87,4.1,4085,0.22,2000,2,2
2021-01-07,910000,969000,896000,962000,706912,0.08089887640449445,217230,235.5,4.43,4085,0.21,2000,1,2
2021-01-08,989000,1016000,970000,999000,924780,0.03846153846153855,217230,244.55,4.6,4085,0.2,2000,1,2
2021-01-11,1012000,1045000,981000,998000,940100,-0.0010010010010009784,217230,244.31,4.59,4085,0.2,2000,1,2
2021-01-12,985000,994000,935000,962000,774712,-0.03607214428857719,217230,235.5,4.43,4085,0.21,2000,2,2
2021-01-13,966000,1002000,963000,1000000,571276,0.03950103950103956,217230,244.8,4.6,4085,0.2,2000,1,2
2021-01-14,1008000,1050000,1000000,1010000,652537,0.010000000000000009,217230,247.25,4.65,4085,0.2,2000,1,2
2021-01-15,1015000,1025000,975000,979000,445649,-0.03069306930693072,217230,239.66,4.51,4085,0.2,2000,2,2
2021-01-18,958000,990000,943000,964000,423917,-0.01532175689479065,217230,235.99,4.44,4085,0.21,2000,1,2
2021-01-19,983000,1003000,970000,997000,386045,0.034232365145228316,217230,244.06,4.59,4085,0.2,2000,2,2
2021-01-20,1004000,1010000,983000,1000000,360937,0.0030090270812437314,217230,244.8,4.6,4085,0.2,2000,2,2
2021-01-21,1011000,1019000,988000,988000,364628,-0.01200000000000001,217230,241.86,4.55,4085,0.2,2000,2,2
2021-01-22,986000,990000,975000,975000,394045,-0.013157894736842146,217230,238.68,4.49,4085,0.21,2000,2,2
2021-01-25,990000,991000,972000,990000,298557,0.01538461538461533,217230,242.35,4.56,4085,0.2,2000,0,2
2021-01-26,994000,994000,955000,955000,476393,-0.03535353535353536,217230,233.78,4.4,4085,0.21,2000,2,2
2021-01-27,945000,960000,925000,928000,739531,-0.028272251308900542,217230,227.17,4.27,4085,0.22,2000,2,2
2021-01-28,905000,943000,899000,938000,677727,0.010775862068965525,217230,229.62,4.32,4085,0.21,2000,2,2
2021-01-29,955000,960000,913000,917000,626744,-0.02238805970149249,217230,224.48,4.22,4085,0.22,2000,2,2
2021-02-01,923000,950000,905000,950000,401253,0.03598691384950925,217230,232.56,4.37,4085,0.21,2000,1,2
2021-02-02,963000,976000,951000,965000,426057,0.015789473684210575,217230,236.23,4.44,4085,0.21,2000,2,2
2021-02-03,980000,1000000,970000,999000,724008,0.03523316062176174,217230,244.55,4.6,4085,0.2,2000,1,2
2021-02-04,999000,1005000,982000,1000000,440798,0.0010010010010010895,217230,244.8,4.6,4085,0.2,2000,1,2
2021-02-05,1009000,1043000,1005000,1028000,522768,0.028000000000000025,217230,251.65,4.73,4085,0.19,2000,0,2
2021-02-08,1017000,1025000,990000,990000,288825,-0.03696498054474706,217230,242.35,4.56,4085,0.2,2000,2,2
2021-02-09,994000,1012000,973000,973000,370167,-0.01717171717171717,217230,238.19,4.48,4085,0.21,2000,2,2
2021-02-10,982000,983000,936000,960000,698567,-0.01336073997944498,217230,235.01,4.42,4085,0.21,2000,0,2
2021-02-15,1008000,1010000,984000,990000,450962,0.03125,217230,242.35,4.56,4085,0.2,2000,1,2
2021-02-16,992000,992000,973000,978000,214557,-0.012121212121212088,217230,239.41,4.5,4085,0.2,2000,2,2
2021-02-17,987000,987000,955000,957000,335846,-0.021472392638036797,217230,234.27,4.41,4085,0.21,2000,0,2
2021-02-18,954000,960000,939000,939000,350635,-0.018808777429467072,217230,229.87,4.32,4085,0.21,2000,0,2
2021-02-19,939000,956000,938000,941000,255628,0.0021299254526092604,217230,230.35,4.33,4085,0.21,2000,2,2
2021-02-22,943000,944000,905000,916000,450568,-0.026567481402762994,217230,224.24,4.22,4085,0.22,2000,2,2
2021-02-23,901000,905000,882000,885000,522075,-0.03384279475982532,217230,216.65,4.07,4085,0.23,2000,0,2
2021-02-24,875000,894000,860000,860000,452597,-0.02824858757062143,217230,210.53,3.96,4085,0.23,2000,1,2
2021-02-25,867000,890000,866000,890000,451276,0.03488372093023262,217230,217.87,4.1,4085,0.22,2000,2,2
2021-02-26,865000,867000,825000,831000,656689,-0.06629213483146068,217230,203.43,3.83,4085,0.24,2000,2,2
2021-03-02,863000,905000,857000,891000,697301,0.07220216606498187,217230,218.12,4.1,4085,0.22,2000,2,2
2021-03-03,883000,894000,863000,870000,416803,-0.023569023569023573,217230,212.97,4.0,4085,0.23,2000,0,2
2021-03-04,870000,876000,855000,865000,348607,-0.005747126436781658,217230,211.75,3.98,4085,0.23,2000,2,2
2021-03-05,853000,922000,853000,904000,548940,0.04508670520231206,217230,221.3,4.16,4085,0.22,2000,1,2
