Date,Open,High,Low,Close,Volume,Change,BPS,PER,PBR,EPS,DIV,DPS,Action,act
2020-12-22,72500,73200,72100,72300,16304910,-0.009589041095890427,37528,22.84,1.93,3166,1.96,1416,1,2
2020-12-23,72400,74000,72300,73900,19411326,0.022130013831258566,37528,23.34,1.97,3166,1.92,1416,2,2
2020-12-24,74100,78800,74000,77800,32502870,0.05277401894451961,37528,24.57,2.07,3166,1.82,1416,2,2
2020-12-28,79000,80100,78200,78700,40085044,0.011568123393316254,37528,24.86,2.1,3166,1.8,1416,2,2
2020-12-29,78800,78900,77300,78300,30339449,-0.0050825921219822545,37528,24.73,2.09,3166,1.81,1416,2,2
2020-12-30,77400,81300,77300,81000,29417421,0.034482758620689724,37528,25.58,2.16,3166,1.75,1416,0,2
2021-01-04,81000,84400,80200,83000,38655276,0.024691358024691468,37528,26.22,2.21,3166,1.71,1416,0,2
2021-01-05,81600,83900,81600,83900,35335669,0.010843373493975905,37528,26.5,2.24,3166,1.69,1416,0,2
2021-01-06,83300,84500,82100,82200,42089013,-0.020262216924910592,37528,25.96,2.19,3166,1.72,1416,2,2
2021-01-07,82800,84200,82700,82900,32644642,0.008515815085158085,37528,26.18,2.21,3166,1.71,1416,1,2
2021-01-08,83300,90000,83000,88800,59013307,0.07117008443908324,37528,28.05,2.37,3166,1.59,1416,0,2
2021-01-11,90000,96800,89500,91000,90306177,0.024774774774774855,37528,28.74,2.42,3166,1.56,1416,0,2
2021-01-12,90300,91400,87800,90600,48682416,-0.00439560439560438,37528,28.62,2.41,3166,1.56,1416,2,2
2021-01-13,89800,91200,89100,89700,36068848,-0.009933774834437137,37528,28.33,2.39,3166,1.58,1416,2,2
2021-01-14,88700,90000,88700,89700,26393970,0.0,37528,28.33,2.39,3166,1.58,1416,0,2
2021-01-15,89800,91800,88000,88000,33431809,-0.018952062430323324,37528,27.8,2.34,3166,1.61,1416,0,2
2021-01-18,86600,87300,84100,85000,43227951,-0.03409090909090906,37528,26.85,2.26,3166,1.67,1416,2,2
2021-01-19,84500,88000,83600,87000,39895044,0.0235294117647058,37528,27.48,2.32,3166,1.63,1416,1,2
2021-01-20,89000,89000,86500,87200,25211127,0.0022988505747125743,37528,27.54,2.32,3166,1.62,1416,0,2
2021-01-21,87500,88600,86500,88100,25318011,0.010321100917431103,37528,27.83,2.35,3166,1.61,1416,0,2
2021-01-22,89000,89700,86800,86800,30861661,-0.014755959137343955,37528,27.42,2.31,3166,1.63,1416,2,2
2021-01-25,87000,89900,86300,89400,27258534,0.02995391705069128,37528,28.24,2.38,3166,1.58,1416,2,2
2021-01-26,88800,89200,86500,86700,33178936,-0.030201342281879207,37528,27.38,2.31,3166,1.63,1416,2,2
2021-01-27,86600,87700,85600,85600,26423070,-0.012687427912341454,37528,27.04,2.28,3166,1.65,1416,0,2
