Date,Open,High,Low,Close,Volume,Change,BPS,PER,PBR,EPS,DIV,DPS,Action,act
2020-12-22,361379,364325,352541,352541,1358477,-0.02179818366967534,20795,160.55,17.26,2236,0.0,0,2,2
2020-12-23,357451,359415,347631,348613,1425317,-0.011141966466311715,20795,158.77,17.07,2236,0.0,0,0,2
2020-12-24,349104,351559,337320,341248,2076258,-0.021126578756386016,20795,155.41,16.71,2236,0.0,0,0,2
2020-12-28,343212,353523,318170,327500,7295632,-0.04028741560390092,20795,149.15,16.04,2236,0.0,0,0,2
2020-12-29,360500,365000,347000,360500,5725005,0.10076335877862586,20421,164.16,17.65,2196,0.0,0,0,1
2020-12-30,362500,365000,351000,359000,2107841,-0.004160887656033285,20421,163.48,17.58,2196,0.0,0,0,2
2021-01-04,351500,354500,343000,347500,2006483,-0.03203342618384397,20421,158.24,17.02,2196,0.0,0,2,2
2021-01-05,351500,356000,345000,354500,1255776,0.020143884892086295,20421,161.43,17.36,2196,0.0,0,2,2
2021-01-06,357000,359500,353500,353500,977528,-0.0028208744710860323,20421,160.97,17.31,2196,0.0,0,2,2
2021-01-07,355000,359500,351000,357500,956548,0.011315417256011262,20421,162.8,17.51,2196,0.0,0,1,2
2021-01-08,359500,370000,356000,367000,1719926,0.02657342657342654,20421,167.12,17.97,2196,0.0,0,2,2
2021-01-11,377000,386500,367000,374000,2624781,0.019073569482288777,20421,170.31,18.31,2196,0.0,0,2,2
2021-01-12,380500,386999,370000,384000,2475166,0.02673796791443861,20421,174.86,18.8,2196,0.0,0,1,2
2021-01-13,380000,390000,375000,381500,2083610,-0.00651041666666663,20421,173.72,18.68,2196,0.0,0,2,2
2021-01-14,366000,374000,351000,352500,3425555,-0.07601572739187423,20421,160.52,17.26,2196,0.0,0,2,2
2021-01-15,349000,349500,325500,329000,3398281,-0.06666666666666665,20421,149.82,16.11,2196,0.0,0,0,2
2021-01-18,327500,346000,314000,314000,2601181,-0.045592705167173286,20421,142.99,15.38,2196,0.0,0,2,2
2021-01-19,308000,317000,296500,312500,3300220,-0.004777070063694322,20421,142.3,15.3,2196,0.0,0,1,2
2021-01-20,315500,324000,308000,311000,1395424,-0.0048000000000000265,20421,141.62,15.23,2196,0.0,0,1,2
2021-01-21,314000,317500,306500,312000,1083926,0.003215434083601254,20421,142.08,15.28,2196,0.0,0,2,2
2021-01-22,312500,315500,308000,310000,835242,-0.0064102564102563875,20421,141.17,15.18,2196,0.0,0,2,2
2021-01-25,311500,322000,311000,321000,941127,0.03548387096774186,20421,146.17,15.72,2196,0.0,0,0,2
