Date,Open,High,Low,Close,Volume,Change,BPS,PER,PBR,EPS,DIV,DPS,Action,act
2020-12-22,115000,115500,112500,112500,4270842,-0.030172413793103425,65836,38.23,1.71,2943,0.89,1000,1,2
2020-12-23,113000,116000,112500,116000,3173156,0.03111111111111109,65836,39.42,1.76,2943,0.86,1000,2,2
2020-12-24,116000,118500,115500,118000,3486636,0.01724137931034475,65836,40.1,1.79,2943,0.85,1000,2,2
2020-12-28,119000,119500,115000,115500,4825132,-0.021186440677966156,65836,39.25,1.75,2943,0.87,1000,1,2
2020-12-29,118000,118500,114000,116000,4208916,0.0043290043290042934,65836,39.42,1.76,2943,0.86,1000,2,2
2020-12-30,116000,118500,114500,118500,4195192,0.02155172413793105,65836,40.27,1.8,2943,0.84,1000,2,2
2021-01-04,124500,128000,120500,126000,7995016,0.06329113924050622,65836,42.81,1.91,2943,0.79,1000,2,2
2021-01-05,124500,132500,124000,130500,7180224,0.03571428571428581,65836,44.34,1.98,2943,0.77,1000,2,2
2021-01-06,132500,137000,130000,131000,8525749,0.003831417624521105,65836,44.51,1.99,2943,0.76,1000,2,2
2021-01-07,132500,137500,131500,134500,5981299,0.026717557251908497,65836,45.7,2.04,2943,0.74,1000,2,2
2021-01-08,136000,138000,132500,138000,8713010,0.026022304832713727,65836,46.89,2.1,2943,0.72,1000,2,2
2021-01-11,138000,140000,131000,133000,11154671,-0.036231884057971064,65836,45.19,2.02,2943,0.75,1000,2,2
2021-01-12,132000,133500,125500,129000,8700877,-0.03007518796992481,65836,43.83,1.96,2943,0.78,1000,2,2
2021-01-13,129000,133500,128500,133000,6791044,0.03100775193798455,65836,45.19,2.02,2943,0.75,1000,2,2
2021-01-14,132500,133000,129000,130500,5380278,-0.018796992481203034,65836,44.34,1.98,2943,0.77,1000,1,2
2021-01-15,133000,135000,127000,127500,4838114,-0.02298850574712641,65836,43.32,1.94,2943,0.78,1000,0,2
2021-01-18,126000,131000,125000,130000,5927419,0.019607843137254832,65836,44.17,1.97,2943,0.77,1000,2,2
2021-01-19,131000,132000,128500,130500,4513315,0.0038461538461538325,65836,44.34,1.98,2943,0.77,1000,2,2
2021-01-20,134000,135000,130000,130500,4913282,0.0,65836,44.34,1.98,2943,0.77,1000,0,2
2021-01-21,131500,133000,130000,131500,3067677,0.00766283524904221,65836,44.68,2.0,2943,0.76,1000,2,2
2021-01-22,131500,132000,128500,128500,3927767,-0.02281368821292773,65836,43.66,1.95,2943,0.78,1000,2,2
2021-01-25,130000,135000,129500,135000,5061864,0.05058365758754868,65836,45.87,2.05,2943,0.74,1000,2,2
2021-01-26,134000,134000,128500,129000,6270106,-0.0444444444444444,65836,43.83,1.96,2943,0.78,1000,1,2
2021-01-27,129500,132000,127500,128500,5068456,-0.003875968992248069,65836,43.66,1.95,2943,0.78,1000,0,2
2021-01-28,124000,125500,121500,123000,6270829,-0.04280155642023342,65836,41.79,1.87,2943,0.81,1000,2,2
2021-01-29,128500,128500,121500,122500,7391307,-0.004065040650406471,65836,41.62,1.86,2943,0.82,1000,1,2
2021-02-01,121000,126000,118000,125000,5620305,0.020408163265306145,65836,42.47,1.9,2943,0.8,1000,2,2
2021-02-02,128500,132500,127000,130000,4880067,0.040000000000000036,65836,44.17,1.97,2943,0.77,1000,2,2
2021-02-03,131000,131500,128500,130000,3693688,0.0,65836,44.17,1.97,2943,0.77,1000,1,2
2021-02-04,127500,128500,124000,125000,4600618,-0.038461538461538436,65836,42.47,1.9,2943,0.8,1000,0,2
2021-02-05,126500,128000,124500,127500,3497303,0.020000000000000018,65836,43.32,1.94,2943,0.78,1000,2,2
2021-02-08,127500,128000,125000,125000,2876471,-0.019607843137254943,65836,42.47,1.9,2943,0.8,1000,1,2
2021-02-09,127500,130000,125000,125500,5177095,0.0040000000000000036,65836,42.64,1.91,2943,0.8,1000,2,2
2021-02-10,125500,127000,124500,126000,4262526,0.003984063745019917,65836,42.81,1.91,2943,0.79,1000,2,2
2021-02-15,130000,132500,130000,132000,5384526,0.04761904761904767,65836,44.85,2.0,2943,0.76,1000,2,2
2021-02-16,132500,134000,130500,132500,3218689,0.0037878787878788955,65836,45.02,2.01,2943,0.75,1000,1,2
2021-02-17,131000,131000,128000,130000,3621178,-0.018867924528301883,65836,44.17,1.97,2943,0.77,1000,2,2
2021-02-18,128500,130000,125500,126000,3792425,-0.03076923076923077,65836,42.81,1.91,2943,0.79,1000,2,2
2021-02-19,129000,133000,128500,133000,6986526,0.05555555555555558,65836,45.19,2.02,2943,0.75,1000,2,2
2021-02-22,136000,139500,135000,136500,7961516,0.026315789473684292,65836,46.38,2.07,2943,0.73,1000,2,2
2021-02-23,133500,140000,131500,138500,6400037,0.0146520146520146,65836,47.06,2.1,2943,0.72,1000,0,2
2021-02-24,137500,143500,134000,136000,9074809,-0.018050541516245522,65836,46.21,2.07,2943,0.74,1000,2,2
2021-02-25,141000,149500,140000,148500,9936495,0.09191176470588225,65836,50.46,2.26,2943,0.67,1000,2,2
2021-02-26,143500,145000,138000,141500,10843268,-0.047138047138047146,65836,48.08,2.15,2943,0.71,1000,1,2
2021-03-02,149000,150500,141000,144500,9376523,0.021201413427561766,65836,49.1,2.19,2943,0.69,1000,2,2
2021-03-03,142500,147000,139500,147000,5827221,0.01730103806228378,65836,49.95,2.23,2943,0.68,1000,2,2
2021-03-04,143000,145500,139500,142000,6586562,-0.03401360544217691,65836,48.25,2.16,2943,0.7,1000,2,2
2021-03-05,138000,141500,136500,140000,6091444,-0.014084507042253502,65836,47.57,2.13,2943,0.71,1000,0,2
2021-03-08,143000,143000,135500,135500,5587787,-0.03214285714285714,65836,46.04,2.06,2943,0.74,1000,2,2
2021-03-09,134000,137500,130500,136500,7822152,0.007380073800737907,65836,46.38,2.07,2943,0.73,1000,0,2
2021-03-10,140500,140500,132500,133000,5614476,-0.02564102564102566,65836,45.19,2.02,2943,0.75,1000,2,2
2021-03-11,134500,139000,134000,137000,6707671,0.03007518796992481,65836,46.55,2.08,2943,0.73,1000,2,2
2021-03-12,140500,142500,139500,140000,4548695,0.021897810218978186,65836,47.57,2.13,2943,0.71,1000,1,2
2021-03-15,141500,142000,136000,136500,4289990,-0.025000000000000022,65836,46.38,2.07,2943,0.73,1000,1,2
2021-03-16,138500,140500,138000,140500,3304561,0.0293040293040292,65836,47.74,2.13,2943,0.71,1000,1,2
2021-03-17,141000,141000,138500,140000,2588319,-0.003558718861209953,65836,47.57,2.13,2943,0.71,1000,2,2
2021-03-18,142500,145000,141000,142000,4426840,0.014285714285714235,65836,48.25,2.16,2943,0.7,1000,2,2
2021-03-19,138000,139500,137000,138000,4015627,-0.028169014084507005,65836,46.89,2.1,2943,0.72,1000,1,2
2021-03-22,138500,140000,137000,138000,2727719,0.0,65836,46.89,2.1,2943,0.72,1000,2,2
2021-03-23,139000,139500,134000,135000,3839090,-0.021739130434782594,65836,45.87,2.05,2943,0.74,1000,1,2
2021-03-24,133000,134500,131500,133500,3894080,-0.011111111111111072,65836,45.36,2.03,2943,0.75,1000,0,2
2021-03-25,133000,134500,130500,133000,4157799,-0.0037453183520599342,65836,45.19,2.02,2943,0.75,1000,1,2
2021-03-26,134000,135000,132000,135000,3835443,0.015037593984962516,65836,45.87,2.05,2943,0.74,1000,2,2
2021-03-29,135500,135500,131500,132000,3575226,-0.022222222222222254,65836,44.85,2.0,2943,0.76,1000,1,2
2021-03-30,133000,135500,132000,134500,3304184,0.018939393939394034,65836,45.7,2.04,2943,0.74,1000,1,2
2021-03-31,134500,135000,132000,132500,3309680,-0.014869888475836479,65836,45.02,2.01,2943,0.75,1000,2,2
2021-04-01,138000,140500,136500,140500,5833436,0.060377358490566024,65836,47.74,2.13,2943,0.71,1000,0,2
2021-04-02,142000,143000,140000,141000,3432245,0.003558718861210064,65836,47.91,2.14,2943,0.71,1000,2,2
2021-04-05,142000,144500,141000,143000,2616440,0.014184397163120588,65836,48.59,2.17,2943,0.7,1000,0,2
2021-04-06,147000,147000,141500,143000,3753217,0.0,65836,48.59,2.17,2943,0.7,1000,2,2
2021-04-07,146000,146000,142500,143500,2424687,0.0034965034965035446,65836,48.76,2.18,2943,0.7,1000,2,2
2021-04-08,143500,146000,142500,144000,3774932,0.0034843205574912606,65836,48.93,2.19,2943,0.69,1000,2,2
2021-04-09,144000,145000,139500,140000,3276077,-0.02777777777777779,65836,47.57,2.13,2943,0.71,1000,2,2
2021-04-12,140500,140500,136000,137500,3878457,-0.017857142857142905,65836,46.72,2.09,2943,0.73,1000,2,2
2021-04-13,136000,140000,135500,139500,2876178,0.014545454545454639,65836,47.4,2.12,2943,0.72,1000,2,2
2021-04-14,139000,139000,136500,137000,2777203,-0.017921146953404965,65836,46.55,2.08,2943,0.73,1000,2,2
2021-04-15,136000,139000,136000,137500,2291160,0.0036496350364962904,65836,46.72,2.09,2943,0.73,1000,2,2
2021-04-16,138500,139000,137500,137500,1982877,0.0,65836,46.72,2.09,2943,0.73,1000,2,2
2021-04-19,138000,139000,137000,138000,1906782,0.0036363636363636598,65836,46.89,2.1,2943,0.72,1000,2,2
2021-04-20,136500,138500,136500,138500,2167732,0.0036231884057971175,65836,47.06,2.1,2943,0.72,1000,2,2
2021-04-21,138000,138000,132000,132500,5120577,-0.04332129963898912,65836,45.02,2.01,2943,0.75,1000,2,2
