Date,Open,High,Low,Close,Volume,Change,BPS,PER,PBR,EPS,DIV,DPS,Action,act
2020-12-22,186000,186500,183000,184000,1381697,-0.016042780748663055,253001,16.27,0.73,11310,2.17,4000,1,2
2020-12-23,183000,188500,183000,185000,1301433,0.005434782608695565,253001,16.36,0.73,11310,2.16,4000,1,2
2020-12-24,185000,189000,185000,187000,1061140,0.0108108108108107,253001,16.53,0.74,11310,2.14,4000,0,2
2020-12-28,189000,193000,187500,189500,2410348,0.013368983957219305,253001,16.76,0.75,11310,2.11,4000,0,2
2020-12-29,191000,191500,188000,190500,1488327,0.005277044854881341,253001,16.84,0.75,11310,2.1,4000,0,2
2020-12-30,190500,193500,189000,192000,1361340,0.007874015748031482,253001,16.98,0.76,11310,2.08,4000,2,2
2021-01-04,194000,211000,193500,207500,5651695,0.08072916666666674,253001,18.35,0.82,11310,1.93,4000,0,2
2021-01-05,207000,213000,205000,209500,3022595,0.009638554216867545,253001,18.52,0.83,11310,1.91,4000,2,2
2021-01-06,209500,211500,202500,203000,2848547,-0.031026252983293534,253001,17.95,0.8,11310,1.97,4000,2,2
2021-01-07,206000,210500,204500,206000,2478337,0.014778325123152802,253001,18.21,0.81,11310,1.94,4000,2,2
2021-01-08,240500,257000,225000,246000,19933702,0.1941747572815533,253001,21.75,0.97,11310,1.63,4000,2,1
2021-01-11,256500,289000,256000,267500,14433887,0.08739837398373984,253001,23.65,1.06,11310,1.5,4000,2,2
2021-01-12,263500,274500,250500,261000,8040182,-0.024299065420560706,253001,23.08,1.03,11310,1.53,4000,2,2
2021-01-13,259500,265000,250000,259000,5805649,-0.007662835249042099,253001,22.9,1.02,11310,1.54,4000,1,2
2021-01-14,251000,255500,248500,250500,3389733,-0.032818532818532864,253001,22.15,0.99,11310,1.6,4000,2,2
2021-01-15,252000,255000,239000,240000,3915078,-0.041916167664670656,253001,21.22,0.95,11310,1.67,4000,1,2
2021-01-18,237500,246500,234000,241000,3387635,0.004166666666666652,253001,21.31,0.95,11310,1.66,4000,0,2
2021-01-19,244000,261500,244000,261500,4976690,0.08506224066390033,253001,23.12,1.03,11310,1.53,4000,1,2
2021-01-20,271000,277000,254000,259000,5305494,-0.009560229445506718,253001,22.9,1.02,11310,1.54,4000,2,2
2021-01-21,264000,266500,259500,264500,2593509,0.021235521235521304,253001,23.39,1.05,11310,1.51,4000,1,2
2021-01-22,261000,263000,257000,257000,2093127,-0.02835538752362954,253001,22.72,1.02,11310,1.56,4000,1,2
2021-01-25,253000,262000,251500,260000,1895263,0.011673151750972721,253001,22.99,1.03,11310,1.54,4000,1,2
2021-01-26,260500,260500,250500,251500,1846817,-0.03269230769230769,253001,22.24,0.99,11310,1.59,4000,2,2
2021-01-27,252000,254500,245000,245500,2190994,-0.02385685884691846,253001,21.71,0.97,11310,1.63,4000,2,2
2021-01-28,238000,243500,236500,238500,2033262,-0.02851323828920571,253001,21.09,0.94,11310,1.68,4000,2,2
2021-01-29,242000,242500,227000,229000,2663404,-0.03983228511530401,253001,20.25,0.91,11310,1.75,4000,2,2
2021-02-01,229000,238500,224500,238500,1798912,0.04148471615720517,253001,21.09,0.94,11310,1.68,4000,1,2
2021-02-02,241500,243500,236000,240500,1519973,0.008385744234800763,253001,21.26,0.95,11310,1.66,4000,2,2
2021-02-03,245000,252500,242500,245500,2983093,0.02079002079002068,253001,21.71,0.97,11310,1.63,4000,0,2
