Open,High,Low,Close,Volume,Change,Action,act
72500,73200,72100,72300,16304910,-0.009589041095890427,1,2
72400,74000,72300,73900,19411326,0.022130013831258566,1,2
74100,78800,74000,77800,32502870,0.05277401894451961,1,2
79000,80100,78200,78700,40085044,0.011568123393316254,2,2
78800,78900,77300,78300,30339449,-0.0050825921219822545,2,2
77400,81300,77300,81000,29417421,0.034482758620689724,2,2
81000,84400,80200,83000,38655276,0.024691358024691468,2,2
81600,83900,81600,83900,35335669,0.010843373493975905,0,2
83300,84500,82100,82200,42089013,-0.020262216924910592,2,2
82800,84200,82700,82900,32644642,0.008515815085158085,2,2
83300,90000,83000,88800,59013307,0.07117008443908324,1,2
90000,96800,89500,91000,90306177,0.024774774774774855,2,2
90300,91400,87800,90600,48682416,-0.00439560439560438,0,2
89800,91200,89100,89700,36068848,-0.009933774834437137,2,2
88700,90000,88700,89700,26393970,0.0,0,2
89800,91800,88000,88000,33431809,-0.018952062430323324,0,2
86600,87300,84100,85000,43227951,-0.03409090909090906,0,2
84500,88000,83600,87000,39895044,0.0235294117647058,0,2
89000,89000,86500,87200,25211127,0.0022988505747125743,0,2
87500,88600,86500,88100,25318011,0.010321100917431103,0,2
89000,89700,86800,86800,30861661,-0.014755959137343955,2,2
87000,89900,86300,89400,27258534,0.02995391705069128,2,2
88800,89200,86500,86700,33178936,-0.030201342281879207,0,2
86600,87700,85600,85600,26423070,-0.012687427912341454,0,2
83200,85600,83200,83700,31859808,-0.02219626168224298,0,2
84500,85000,82000,82000,39615978,-0.020310633213859064,2,2
81700,83400,81000,83000,28046832,0.012195121951219523,2,2
84100,86400,83700,84400,26302077,0.01686746987951815,0,2
84800,85400,83400,84600,22112205,0.0023696682464455776,0,2
83500,83800,82100,82500,24171688,-0.024822695035460973,2,2
83100,84000,82500,83500,18036835,0.0121212121212122,0,2
83800,84200,83000,83000,15338765,-0.005988023952095856,2,2
84000,84800,82700,82700,20898332,-0.0036144578313253017,0,2
82600,82600,81600,81600,23025766,-0.013301088270858519,0,2
83800,84500,83300,84200,23529706,0.031862745098039325,2,2
84500,86000,84200,84900,20483100,0.008313539192398967,0,2
83900,84200,83000,83200,18307735,-0.020023557126030656,2,2
83200,83600,82100,82100,21327683,-0.013221153846153855,2,2
82300,82800,81000,82600,25880879,0.006090133982947554,0,2
83800,84200,82200,82200,25419886,-0.004842615012106588,0,2
81200,82900,81100,82000,20587314,-0.0024330900243308973,2,2
81800,83600,81300,82000,26807651,0.0,2,2
84000,85400,83000,85300,34155986,0.040243902439024426,2,2
82800,83400,82000,82500,38520800,-0.03282532239155922,0,2
85100,85300,83000,83600,33498180,0.01333333333333342,0,2
